text,true_emotion,predicted_emotion
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant ",anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
@danbloom1 beware the fury of a weak king,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,sadness
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. #fuming",anger,anger
Sting is just too damn earnest for early morning listening. #sting,anger,sadness
Hate when guys cant control their anger 🙃🙃,anger,anger
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
Literally fuming fuck sake,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy #angry #emotionalrollercoaster,anger,sadness
Sting is just too damn earnest for early morning listening. ,anger,sadness
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
All Brian does is sleep and aggravate me,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? ,anger,joy
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? ,fear,anger
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,fear
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,fear
Rooney shocking attempted cross,fear,sadness
I don't want speak front to him   #nopanicattack,fear,fear
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear,fear
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,fear
"⊰ @FrameOfAnAngel ⊱ \n\n+ Of them. I'm here for answers, and if I scare her to death, there won't be answers for me. \n\nSo instead, I just +",fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
There goes the butterflies in my stomach.  #anxietyproblems,fear,fear
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",fear,sadness
